,en,fr,en_c,fr_c
159,in this context i should like to make a request and ask the commissioner responsible who is with us here today to table an appropriate text as soon as possible with a view to continuing to make it safer for traffic to transit tunnels in the future so that we in europe do not have to experience any more such disasters on this scale,START_ à cet égard j'invite et je prie la commissaire responsable présente parmi nous de nous présenter dès que possible un texte de nature à augmenter à l'avenir la sécurité dans les tunnels afin qu'en europe nous ne devions plus faire face à des catastrophes d'une telle ampleur _END,64,49
160,madam president first of all i should like to thank mr koch for his report which has at its heart the issue of transport safety,START_ madame la présidente je voudrais avant tout remercier m koch de son rapport dans la question de la sécurité des transports occupe une place centrale _END,25,27
161,the report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation of dangerous goods by road rail and inland waterway,START_ il envisage l'harmonisation du niveau des exigences applicables à l'examen des conseillers à la sécurité pour le transport de marchandises dangereuses par route par rail ou par voie navigable _END,29,31
162,i congratulate him on his excellent report,START_ je le félicite de son excellent rapport _END,7,9
163,transport safety has sadly been in the news recently the paddington rail crash in london the terrible rail crash in norway the two aviation crashes involving eu citizens and the natural disaster involving the erika off brittany - all within the last four months - remind us that transport safety can never be taken for granted and that those charged with protecting the public must be highly motivated and highly qualified,START_ la sécurité des transports a malheureusement fait l'actualité ces derniers temps  l'accident ferroviaire de paddington à londres l'effroyable accident ferroviaire en norvège les deux accidents d'avion transportant des passagers de l'union européenne et la catastrophe naturelle de l'erika au large de la bretagne ­ ces événements s'étant tous produits au cours des quatre derniers mois ­ nous rappellent que nous ne pouvons croire que la sécurité des transports est garantie d'office et qu'il faut que les responsables de la protection de la population soient extrêmement motivés et qualifiés _END,71,90
164,the rapporteur has pointed out to the house that in its common position the council has accepted six of parliament's ten amendments put forward at first reading and that the substance of parliament's other amendments has been retained,START_ le rapporteur a signalé au parlement que la position commune du conseil retient six des dix amendements au texte présentés par le parlement en première lecture ainsi que la teneur des autres amendements du parlement _END,38,37
165,my group will therefore support the common position and looks forward to the enactment of the legislation which will provide us with yet another tool in our fight to make transport in the european union as safe as possible,START_ en conséquence mon groupe soutiendra la position commune et espère que la législation sera rapidement promulguée qui nous fournira un outil de plus dans notre lutte pour que le transport au sein de l'union atteigne le plus haut niveau de sécurité possible _END,39,44
166,when it comes to safety my group will always support any initiatives to improve transport safety,START_ mon groupe soutiendra d'ailleurs toute initiative visant à améliorer la sécurité des transports _END,16,15
167,we still have a lot of work to do in this area as recent events have proved,START_ il nous reste encore beaucoup à faire en la matière comme le montre l'actualité _END,17,16
168,madam president i would like to make a few comments,START_ madame la présidente je voudrais faire quelques remarques _END,10,10
169,i would like first of all to thank the rapporteur for his exceptionally accurate and technical work on the report and secondly the commission for the proposal it has submitted,START_ je tiens d'abord à remercier le rapporteur pour son travail technique extrêmement précis dans ce dossier et ensuite la commission pour la proposition qu'elle a formulée _END,30,28
170,we are concerned here with the harmonisation of examination requirements but also in fact with minimum requirements,START_ il s'agit de l'harmonisation des exigences des examens mais également des exigences minimales _END,17,15
171,this is a pity in a sense,START_ dans un certain sens c'est dommage _END,7,8
172,needless to say safety on roads railways and inland waterways is of key importance and given the international nature of these types of transport training for safety advisors should also be harmonised therefore as well as the requirements of the new adr for example which is under way,START_ l'importance de la sécurité sur la route sur les rails ou sur les voies navigables est naturellement primordiale et en raison du caractère international de ces modes de transport nous devons également harmoniser les formations des conseillers à la sécurité ainsi que notamment les exigences du nouvel adr qui devrait bientôt entrer en vigueur _END,48,56
173,this is important but so is enforcement and there are of course a number of reasons why we need to pay particular attention to this,START_ c'est important mais le respect de ces mesures l'est tout autant et il y a naturellement plusieurs raisons pour lesquelles nous devons y prêter une attention particulière _END,25,29
174,just think of the road accidents which have occurred over recent years for example in belgium the netherlands and a number of other countries where lorries carrying dangerous goods continued to drive in foggy conditions when really they should have pulled off the road instead,START_ examinons les accidents de la route de ces dernières années par exemple en belgique aux pays-bas et dans certains autres pays par temps de brouillard avec des camions transportant des produits dangereux alors que dans ces conditions ils auraient dû rester sur le bord de la route _END,45,49
175,or ships from eastern europe which moor adjacent to ships over here with all the obvious risks that this entails,START_ ou des bateliers et leurs navires d'europe orientale qui amarrent leurs bateaux côte à côte ce qui rend les situations dangereuses d'autant plus évidentes _END,20,26
176,furthermore it has transpired that research in the ports in belgium finland but also in japan has shown that 50% of containers with partially dangerous cargo are not delivered correctly for shipment,START_ en outre une enquête menée dans des ports belges finnois et japonais a révélé que 50 pour cent des conteneurs avec un chargement partiellement dangereux n'étaient pas correctement déchargés _END,32,31
177,in short the issue is an important one,START_ bref le sujet est très important _END,8,8
178,if we look at the situation where safety advisers are concerned in a number of countries it is compulsory to employ such safety advisers in companies as from 1 january of this year,START_ si nous examinons la situation des conseillers à la sécurité depuis le 1er janvier dans certains pays les entreprises doivent disposer d'un tel conseiller _END,33,26
179,there will be major problems with enforcing this rule at present especially with smaller companies as these cannot afford safety advisors,START_ le respect de ce principe pose d'importants problèmes actuellement notamment pour les entreprises moins importantes qui ne peuvent se le permettre financièrement _END,21,24
180,these smaller companies either dispose of their cargo or mix it with other cargo which causes problems,START_ elles vont soit se débarrasser de leur cargaison soit elles vont la mélanger avec d'autres cargaisons ce qui engendre une série de problèmes _END,17,25
181,it is therefore also being requested that iso 9002 certificates possibly include the finer details of these activities in the form of annual reports and company analyses,START_ pour cette raison on demande que ces activités soient développées sous la forme de rapports annuels d'analyses d'entreprises et qu'elles soient éventuellement reprises dans des certificats iso 9002 _END,27,30
182,the work is done all that remains is the business of enforcement,START_ le travail est fait il s'agit encore d'en assurer le respect _END,12,13
183,i would like to mention one final point,START_ je me permets de soulever un dernier point _END,8,10
184,with regard to enforcement proper agreements must also be concluded with the eastern european countries because they will not enter into treaties which deal with this matter until 1 july 2001 that is to say in eighteen months' time,START_ en ce qui concerne ce respect il convient également de conclure des accords satisfaisants avec les pays d'europe orientale car ce n'est que le 1er juillet 2001 dans un peu plus d'un an et demi qu'ils adhéreront aux conventions en vigueur _END,39,43
185,this gives them a competitive edge for the interim period,START_ cela leur conférera un avantage concurrentiel temporaire _END,10,9
186,this is not in itself anything dreadful but we should prioritise particularly the safety aspects for goods transported by road rail and inland waterways and incorporate these as part of the acquis communautaire as soon as possible and present them to the acceding states,START_ ce n'est pas grave en soi mais ce que nous devrions faire c'est accorder la priorité aux aspects de la sécurité des marchandises transportées par route par rail ou par voie navigable et présenter aussitôt que possible cette partie de l'acquis aux pays candidats _END,44,46
187,madam president the importance of transport safety is highlighted on a regular basis in this parliament and rightly so,START_ madame la présidente dans ce parlement on attire régulièrement l'attention à juste titre sur l'importance de la sécurité dans les transports _END,19,23
188,the ever increasing volume of goods passing through europe entails all kinds of risks known and unknown for employees and the social environment,START_ les quantités de plus en plus importantes de marchandises traversant l'europe engendrent sciemment ou non toute une série de risques pour le personnel qui en a la charge et la société en général _END,23,35
189,those having to deal with these risks should therefore meet stringent requirements,START_ par conséquent ceux qui sont soumis à ces risques doivent satisfaire à des exigences strictes _END,12,17
190,the relevant standards which have been laid down in another directive 95/35/ec seem sufficiently adequate to advise people in a responsible manner on the organisation of the transport of dangerous goods,START_ les normes imposées à cet effet dans une autre directive 95/35/ce semblent suffisamment adéquates pour informer les gens de manière responsable de l'organisation du transport de marchandises dangereuses _END,31,30
191,i am very pleased that agreement has also been reached with the council on minimum standards regarding examinations although i would have preferred it if uniform set standards and modules had been established so that certificates would be of equal value internationally,START_ je suis ravi qu'il y ait également un accord avec le conseil concernant les normes minimales pour leurs examens même si j'aurais préféré des normes fixes et uniformisées afin d'avoir des diplômes et des examens internationaux identiques _END,42,39
192,this however does not seem feasible,START_ toutefois cela ne paraît pas réalisable _END,6,8
193,finally the amendment tabled by the rapporteur is perfectly logical and i can therefore give it my wholehearted support,START_ pour conclure l'amendement proposé par le rapporteur est on ne peut plus logique et je le soutiens avec joie _END,19,21
194,mr president commissioner i should first like to congratulate mr koch on his reports which though technical are nonetheless of very great significance for safety,START_ monsieur le président madame la commissaire chers collègues je voudrais tout d'abord féliciter notre collègue koch pour ses rapports qui pour être techniques n'en sont pas moins d'une très grande importance pour la sécurité _END,25,36
195,i should like to make just a few comments,START_ je voudrais émettre quelques rares remarques _END,9,8
196,firstly i should like to ask the commissioner - and i am convinced that my request will fall on fertile ground - to ensure that more attention is paid to the issue of safety be it on the roads on the waterways or at sea,START_ je voudrais tout d'abord demander à mme la commissaire - et je suis convaincu que mon vu ne demeurera pas lettre morte - qu'on accorde une plus grande attention à la question de la sécurité que ce soit sur la route sur les voies navigables ou en mer _END,45,50
197,considering that it is only today that we are dealing with a commission proposal first made on 19 march 1998 even though parliament responded relatively quickly this time lag is a little too long,START_ lorsque je considère que la première proposition de la commission a été déposée le 19 mars 1998 et que nous nous en occupons aujourd'hui - alors que le parlement a réagi assez rapidement - le délai est un peu trop long _END,34,43
198,this is not just the fault of the commission but i believe that we need to take action more quickly so as to achieve harmonisation in this area as well,START_ la faute n'en revient certes pas à la seule commission mais je pense que nous devons réagir plus vite pour parvenir à une harmonisation dans ce domaine aussi _END,30,30
199,my second point has already been mentioned it concerns the minimum standards,START_ le deuxième point a déjà été évoqué  les normes minimales _END,12,12
200,in principle i believe that in many cases where transport is concerned we should be working towards increased flexibility and country-specific rules,START_ fondamentalement je suis d'avis que dans de nombreux domaines touchant aux transports nous devrions viser à une plus grande flexibilité et à des règlements pays par pays _END,22,29
201,however when it comes to safety i am rather sceptical because safety in sweden for example is in principle no different from safety in germany italy or austria,START_ pour ce qui est de la sécurité je suis cependant quelque peu sceptique parce que sur le principe la sécurité n'est pas différente en suède par exemple de ce qu'elle est en allemagne en italie ou en autriche _END,28,40
202,i can live with these minimum standards but i would ask the commission to monitor the situation very carefully,START_ je peux m'accommoder de ces normes minimales mais je prie la commission de suivre ce dossier avec une réelle attention _END,19,22
203,should flexibility of this kind result in there being inadequate rules in some countries then we should work towards greater harmonisation,START_ si ce genre de flexibilité devait mener à l'apparition de règlements insatisfaisants dans certains pays nous devrions opter pour une plus grande harmonisation _END,21,25
204,my third point has also been mentioned already,START_ le troisième point a lui aussi été déjà évoqué _END,8,11
205,as you know like mr rack i come from a transit country where this issue plays a particularly important role,START_ comme m rack je viens d'une région de transit dans laquelle cette question joue un rôle particulier _END,20,19
206,we do not want to make the conditions of competition worse for some countries unilaterally and improve them for countries such as austria or other transit countries,START_ nous ne voulons pas une détérioration unilatérale des conditions de concurrence prévalant dans certains pays au profit de pays tels que l'autriche ou d'autres régions de transit _END,27,29
207,but i believe that we should do all we can to keep the transport of dangerous goods to a minimum in all countries whether they are transit countries or not,START_ je pense toutefois que nous devrions tout faire pour limiter autant que possible le transport de marchandises dangereuses et ce dans l'ensemble des pays qu'ils soient des régions de transit ou non _END,30,34
208,mr president i would firstly like to congratulate the rapporteur mr koch on his magnificent work and his positive cooperation with the commission with regard to improving the texts and presenting this report and this proposal in the end there is only one amendment on the requirements for the aptitude examination for safety advisers in the transport of dangerous goods by road rail or inland waterway,START_ monsieur le président je voudrais tout d'abord féliciter le rapporteur m koch de son magnifique travail et de sa collaboration positive avec la commission pour améliorer les textes présenter ce rapport et cette proposition  en fin de compte seul un amendement a été présenté qui porte sur les exigences applicables à l'examen d'aptitude des conseillers à la sécurité pour le transport par route par rail ou par voie navigable de marchandises dangereuses _END,66,74
209,we understand that it is important that the two institutions - parliament and commission - cooperate and work together and that the current cooperation with the committee on regional policy and in particular the transport group is magnificent,START_ nous pensons que la collaboration le travail commun de la part des deux institutions ­ parlement et commission ­ est importante et que la coopération qui existe avec la commission de la politique régionale et concrètement avec le groupe des transports est magnifique _END,38,45
210,the common position includes practically all of the amendments accepted by the commission and harmonises the minimum examination requirements for safety advisers and at second reading we can accept the amendment on the proposed date which is much more realistic than the one originally suggested by the commission bearing in mind that we have now spent several years debating this question,START_ la position commune inclut pratiquement tous les amendements acceptés par la commission harmonise les exigences minimales applicables aux examens des conseillers à la sécurité et en deuxième lecture nous pouvons accepter la date proposée bien plus réaliste que celle projetée au départ par la commission sachant que cela fait déjà plusieurs années que nous débattons cette question _END,61,59
211,very briefly i would like to thank the various members for their interventions and to tell you that safety is one of the commission' s priorities in the field of transport,START_ très brièvement je voudrais également remercier les différents députés de leurs interventions et dire que la sécurité est une priorité de la commission dans le domaine des transports _END,31,30
212,as mr simpson has said very correctly this is a process which we can never take for granted or regard as having come to an end,START_ comme l'a très bien dit m simpson il ne faut jamais considérer que le processus est acquis qu'il a abouti _END,26,22
213,the process of increasing safety margins and safety guarantees in transport is a process which must be improved day by day,START_ le processus visant à augmenter les marges les garanties de sécurité dans les transports est un processus qu'il convient d'améliorer jour après jour _END,21,25
214,in this regard i would also like to refer very briefly to the problems of the tunnels which messrs rack and swoboda have referred to which in the case of austria is doubtless a very sensitive issue and great effort should be made to improve their safety,START_ en ce sens je voudrais également aborder très brièvement les problèmes des tunnels auxquels mm rack et swoboda ont fait référence et qui dans le cas de l'autriche constituent sans aucun doute un sujet très sensible raison pour laquelle il est nécessaire de faire des efforts pour voir comment accroître leur sécurité _END,47,54
215,in one of the worst accidents to have occurred recently the goods being transported were not dangerous in themselves,START_ lors d'un des gros accidents survenus dernièrement la marchandise transportée n'était pas dangereuse en soi _END,19,17
216,margarine and a few kilos of paint which in principle do not present risks led to a genuine disaster,START_ la margarine et quelques kilos de peinture qui ne présentaient normalement pas de risques ont provoqué une véritable catastrophe _END,19,21
217,therefore we will have to see how the requirements guaranteeing the maximum degree of safety can be further improved,START_ il faut dès lors étudier la manière dont on peut ajuster encore plus les exigences afin de garantir un maximum de sécurité _END,19,24
218,finally i would like to say that we have to consider safety in all types of transport,START_ pour terminer je voudrais dire qu'il est nécessaire d'aborder la sécurité de tous les types de transport _END,17,19
219,this week we will be holding a debate here on the safety of sea transport in light of the erika disaster and in the course of this year we will have to discuss our objectives in terms of the safety of air transport,START_ cette semaine nous organiserons un débat ici pour parler de la sécurité du transport maritime à la suite de la catastrophe de l'erika et nous devrons discuter tout au long de cette année des objectifs en matière de sécurité du transport aérien _END,43,44
220,but i would like to say that safety is a priority objective for the commission,START_ mais je tiens à dire mesdames et messieurs les députés que la sécurité est un objectif prioritaire de la commission _END,15,22
221,as i will say in the debate on the erika disaster we do not wait until there is a disaster to deal with the question of safety but we work on it even when there are no such circumstances which simply serve to demonstrate the urgency for an effective response to this type of problem,START_ comme je le dirai lors du débat sur l'erika nous n'attendons pas qu'une catastrophe survienne pour nous consacrer corps et âme à l'aspect de la sécurité mais nous travaillons dessus en marge de ces circonstances qui ne font que mettre en évidence l'urgence d'une réponse efficace à ce type de problèmes _END,55,53
222,i would like to repeat my appreciation to all the speakers and especially to the rapporteur mr koch,START_ je tiens à réitérer mes remerciements à tous les intervenants et plus particulièrement au rapporteur m koch _END,18,19
223,the debate is closed,START_ le débat est clos _END,4,6
224,the vote will take place tomorrow at 12 pm,START_ le vote aura lieu demain à 12 heures _END,9,10
225,transport of dangerous goods by road,START_ transport de marchandises dangereuses par route _END,6,8
226,the next item is the report a5-0104/1999 by mr koch on behalf of the committee on regional policy transport and tourism on the proposal for a european parliament and council directive amending directive 94/55/ec on the approximation of the laws of the member states with regard to the transport of dangerous goods by road [com1999 158 - c5-0004/1999 - 1999/0083cod],START_ l'ordre du jour appelle le rapport a5-0104/1999 de m koch au nom de la commission de la politique régionale des transports et du tourisme sur la proposition de directive du parlement européen et du conseil modifiant la directive 94/55/ce relative au rapprochement des législations des états membres concernant le transport de marchandises dangereuses par route com1999 158 - c5-0004/1999 - 1999/0083 cod _END,60,64
227,mr president commissioner ladies and gentlemen the directive on the approximation of the laws of the member states with regard to the transport of dangerous goods by road which entered into force on 1 january 1997 contains a number of transitional provisions which are only valid for a limited period of time the term of validity being linked to the completion of specific standardisation work by the cen that is the european committee for standardisation,START_ monsieur le président madame la commissaire chers collègues la directive entrée en vigueur au 1er janvier 1997 et visant au rapprochement des législations des états membres concernant le transport de marchandises dangereuses par route contient quelques dispositions transitoires dont la validité est limitée dans le temps et liée à la conclusion des travaux du cen le comité européen de normalisation _END,75,62
228,delays in the cen' s work are now making it difficult to apply this very directive,START_ les retards survenus dans les travaux du cen entraînent à présent des problèmes dans l'application même de la directive _END,16,21
229,in particular annexes cannot be adapted to take account of technical and industrial developments,START_ il s'agit en particulier des annexes qui ne pourront être adaptées pour répondre à l'évolution technique et industrielle _END,14,20
230,i regret this since we are having to take action because others have not done their job,START_ je le déplore car nous devons agir du fait que d'autres n'ont pas fait leur travail _END,17,18
231,in this respect i accept this proposal to amend directive 94/55/ec which has been tabled for discussion today,START_ dans cette mesure j'accepte donc la proposition de modification de la directive 94/55/ce qui est soumise à notre examen _END,18,21
232,should the european union fail to take action then member states would be obliged to amend their national legislation for a very brief period until the cen completes its work which would cause unnecessary cost and uncertainty,START_ l'inaction de l'union européenne obligerait les états membres à modifier leurs dispositions légales en la matière pour un bref laps de temps à savoir jusqu'à la conclusion des travaux du cen ce qui entraînerait des coûts et des incertitudes inutiles _END,37,42
233,the amendment to the directive on today's agenda does not therefore affect the existing harmonisation of the transport of dangerous goods in the community,START_ la modification qui est à l'ordre du jour n'entraîne donc aucune modification de l'harmonisation communautaire existante en matière de transports de marchandises dangereuses _END,24,25
234,it merely prolongs transitional rules by postponing deadlines deletes provisions which are no longer applicable and lays down the procedures for a carrying out the ad hoc transportation of dangerous goods and b enacting less stringent national regulations in particular for the transport of very small amounts of dangerous goods within strictly defined local areas,START_ elle ne fait que prolonger les réglementations transitoires en repoussant les délais supprime des dispositions qui ont cessé d'être pertinentes et règle les procédures pour ce qui est a des transports ad hoc de marchandises dangereuses et b de la promulgation de dispositions nationales moins strictes en particulier pour le transport de quantités très réduites de marchandises dangereuses dans des zones strictement délimitées _END,55,65
235,the amendment to the directive is consequently in full accordance with the principle of subsidiarity the member states obtain more powers,START_ ce faisant la modification de la directive s'inscrit pleinement dans l'esprit de subsidiarité  les états membres bénéficiant de compétences accrues _END,21,22
236,the commission decides whether the member states may impose certain rules of their own in so doing it is supported by a committee of experts on the transport of dangerous goods under the regulatory procedure,START_ la commission européenne décide si les états membres peuvent édicter des dispositions spécifiques déterminées la procédure de réglementation prévoyant qu'elle bénéficie à cette fin du soutien d'un comité d'experts en matière de transports de marchandises dangereuses _END,35,38
237,the procedures for the exercise of these implementing powers conferred on the commission were laid down afresh in the council decision of june 1999,START_ en juin 1999 une décision du conseil a redéfini les modalités de l'exercice des compétences d'exécution conférées à la commission _END,24,22
238,the proposal to be discussed today to amend the directive on the transport of dangerous goods by road dates from may 1999 however and could not therefore take account of the latest comitology procedure,START_ toutefois la présente proposition de directive modifiant la directive en matière de transport de marchandises dangereuses par route remonte à mai 1999 et ne pouvait donc tenir compte de la procédure comitologique actuelle _END,34,35
239,two of the amendments tabled and adopted unanimously by the committee relate precisely to this amended comitology procedure,START_ sur deux cas précis les propositions d'amendement introduites par la commission et y ayant fait l'objet d'un accord unanime portent justement sur cette procédure comitologique modifiée _END,18,28
240,we would like to ensure that there is a reference to this as early as the recitals and that the period within which the council has to make a decision - which is not clearly worded - is set at a maximum of three months,START_ nous voudrions être sûrs que cela soit déjà signalé dans les considérants et que le délai clairement formulé dans lequel le conseil doit prendre une décision soit fixé à un maximum de trois mois _END,45,36
241,in addition the need for greater transparency has been pointed out,START_ on insiste en outre sur la nécessité d'une transparence accrue _END,11,12
242,a further amendment allows the member states to impose more stringent requirements in particular for vacuum tanks if work is done or goods are transported as a priority in temperatures well below -20ºc this is in the special interest of northern european regions,START_ une autre proposition d'amendement permet en outre aux états membres au sein desquels le travail et le transport se déroulent régulièrement sous des températures nettement inférieures à -20ºc d'édicter des exigences plus strictes en particulier pour ce qui concerne les citernes ceci dans l'intérêt tout particulier des régions nordiques de l'europe _END,43,53
243,a final amendment is intended to ensure that tanks and tankers put into service between 1 january 1997 and the entry into force of this directive may continue to be used provided that they have been constructed and maintained in accordance with it,START_ enfin une dernière proposition d'amendement devrait permettre de continuer d'utiliser les citernes et véhicules mis en service entre le 1er janvier 1997 et l'entrée en vigueur de cette directive si leur construction et leur entretien répondent aux exigences _END,43,40
244,i do realise that this is only a small step towards increased transport safety but i would ask you to endorse this report,START_ tout en sachant que ce n'est là qu'un petit pas vers une plus grande sécurité en matière de transport je vous prie d'approuver ce rapport _END,23,27
245,mr president colleagues a happy new year and millennium to you all,START_ monsieur le président chers collègues je vous adresse tous mes vux pour la nouvelle année et le nouveau millénaire _END,12,21
246,i am speaking for the first time in this plenary part-session so this is quite exciting for me a little like first love although that did last longer than two minutes,START_ c' est la première fois que je prends la parole en plénière il y a donc de quoi être un peu nerveux un peu comme avec le premier amour mais le premier amour a quand même duré heureusement plus de deux minutes _END,31,44
247,i would like to briefly comment on the commission' s proposal to amend the directive on the transport of dangerous goods by road,START_ je voudrais commenter brièvement la proposition de la commission modifiant la directive sur le transport de marchandises dangereuses par route _END,23,22
248,it is good that this directive should be established now as otherwise member states would have to amend their national acts for a very short time a period of transition which would again mean unnecessary costs and which would once more increase concern with regard to eu bureaucracy,START_ c' est une bonne chose que cette directive soit arrêtée maintenant car sinon les états membres seraient obligés de modifier leur législation nationale pour une période transitoire très courte ce qui ne ferait qu' entraîner des coûts inutiles et augmenterait encore une fois le mécontentement des gens face à la bureaucratie communautaire _END,48,54
249,the commission' s proposal however does not take account of all the facts such as the cold climate that prevails in the northern regions,START_ la proposition de la commission ne prend cependant pas en considération tous les facteurs nécessaires je pense par exemple au climat froid des régions septentrionales _END,24,27
250,consequently i have tabled some amendments to mr koch' s intrinsically excellent report which have been adopted by our committee,START_ aussi ai-je proposé quelques amendements au rapport excellent en soi de m koch amendements qui ont été adoptés par notre commission _END,20,23
251,my amendments concern the frost-resistance ratings for tankers carrying these dangerous goods,START_ mes amendements concernent la résistance au froid des citernes de transport des substances dangereuses _END,12,16
252,according to the commission' s proposal -20ºc would have been sufficient on the shores of the mediterranean it is hard to imagine that in lapland temperatures can fall considerably lower than that,START_ d' après la proposition de la commission une limite de ­20º aurait été suffisante  il est difficile de s' imaginer quand on est bord de la méditerranée qu' en laponie la température descend nettement en dessous de cette limite _END,32,41
253,there is support for the eu in lapland also so let us remember them,START_ en laponie aussi les gens sont favorables à l' union européenne pensons donc à eux _END,14,17
254,i have thus proposed that the frost rating be lowered to -40ºc,START_ c' est pourquoi j' ai proposé que la limite soit abaissée à -40º _END,12,15
255,this would be necessary to keep safety standards at the level they were in northern regions previously,START_ cette mesure serait réellement nécessaire pour maintenir à son niveau la sécurité des transports dans les régions septentrionales _END,17,20
256,i hope my proposal will be taken into consideration in tomorrow' s vote,START_ j' espère que ma proposition sera prise en considération lors du vote de demain _END,13,16
257,mr president with your permission i should like to begin by expressing my admiration for the way in which you executed the quick changeover of the chairmanship just now during the debate,START_ monsieur le président si vous le permettez je voudrais tout d'abord vous féliciter de la diligence dont vous avez témoigné en reprenant au vol la présidence au cours de ce débat _END,32,33
258,i thought that it was quite superb,START_ j'ai trouvé cela tout à fait exceptionnel _END,7,9
259,on the subject at hand i think that the people of europe must be able to be confident that the goods - however dangerous they are - which are transported on europe's roads railways and so on are as safe as possible,START_ pour ce qui est du thème proprement dit je pense que les citoyens d'europe doivent pouvoir compter sur le fait que les marchandises transportées sur les routes les voies ferrées et autres voies de transport européennes qu'il s'agisse ou non de marchandises dangereuses sont transportées d'une manière aussi sûre que possible _END,42,53
260,this directive is a contribution to this,START_ cette directive y contribue _END,7,6
261,what we are doing today is essentially a nuisance,START_ dans le fond ce que nous faisons est contrariant _END,9,11
262,the rapporteur mr koch to whom we express our thanks for the work which he has done on this has already pointed out that basically everything could have been somewhat more advanced had it not been for the inactivity on the part of the cen which has been very dilatory in drawing up and adapting the directive,START_ le rapporteur m koch que nous remercions pour le travail qu'il a accompli a signalé que dans le fond tout ceci pourrait déjà être un peu plus avancé sans la négligence du cen qui a énormément tardé à élaborer et à harmoniser la directive _END,57,46
263,that is why we can only hope - and we should resolve all of this this week - that in 2001 we will finally have community regulations for the transport of dangerous goods by road so that we have a degree of legal certainty here and also so that our roads are a good deal safer,START_ nous ne pouvons donc qu'espérer - et nous devrions prendre toutes les décisions à cet effet au cours de cette semaine - qu'en 2001 nous disposions enfin de réglementations communautaires pour le transport de marchandises dangereuses par route afin d'avancer en matière de sécurité juridique et aussi de sécurité sur nos routes _END,56,54
264,mr president the report we are discussing here does not in itself entail any major changes,START_ monsieur le président le rapport auquel nous avons à faire n' implique pas en soi de grands changements _END,16,20
265,most of the proposed amendments are of a purely technical nature,START_ la plupart des propositions d' amendement sont de nature purement technique _END,11,13
266,it is nonetheless worth emphasising that each time we make this type of decision it is good from a broad environmental perspective and it is beneficial because it creates better prior conditions for exploiting the possibilities of the internal market,START_ néanmoins il vaut la peine de souligner que chaque fois que nous prenons une décision de ce type c' est une bonne chose du point de vue de l' environnement en l' occurrence parce que cette disposition créera de meilleures conditions pour le fonctionnement du marché intérieur _END,40,49
267,very large quantities of dangerous goods are transported around the eu both on roads and railways and by sea,START_ de grandes quantités de marchandises dangereuses sont transportées via les routes le réseau ferroviaire et les ports de l' union européenne _END,19,23
268,this makes it necessary to have proper rules governing transport of this kind,START_ il est donc nécessaire d'adopter des réglementations adéquates pour régir ces transports _END,13,14
269,in area after area we are now obtaining common minimum regulations for the member states,START_ nous obtenons progressivement secteur après secteur que les états membres appliquent des règles minimales communes _END,15,17
270,this is extraordinarily positive and there is cause to thank the rapporteur mr koch for the work he has put in on this issue,START_ c' est une évolution tout à fait positive et nous avons tout lieu de remercier le rapporteur m koch pour le travail qu' il a réalisé sur ce sujet _END,24,31
271,this is also important where the prerequisites for the internal market are concerned,START_ c' est également une question importante au regard des conditions de fonctionnement du marché intérieur _END,13,17
272,if we are to get a common transport market genuinely up and running it is important that we should not only have regulations but that these regulations should also as far as possible apply to every country,START_ si nous voulons faire en sorte que fonctionne réellement le marché commun des transports à l' échelle de l' union il est important non seulement que des règles existent mais que dans toute la mesure du possible ces règles nous soient communes _END,37,44
273,i should like to conclude by commenting on a third matter which is also of significance namely an amendment tabled by member of parliament mr ari vatanen,START_ enfin je voudrais commenter un troisième point qui me paraît également essentiel à savoir une proposition d' amendement qui a été déposée par m ari vatanen _END,27,28
274,in many ways the prerequisites differ from one member state to another,START_ le contexte que connaissent nos différents états membres est à bien des égards divers _END,12,16
275,by approving this amendment we take account of the fact that it can be very cold in the northern parts of the european union,START_ cette proposition d' amendement a pour but que l' on tienne compte des grands froids que peuvent connaître les régions septentrionales de l' union _END,24,26
276,this makes it necessary to also take account of the ways in which materials and packaging are affected by cold of this kind,START_ c' est une circonstance particulière qui exige que l' on prenne aussi en considération l' effet que peuvent avoir ces températures très basses sur les marchandises et leurs emballages _END,23,31
277,it is good that in establishing the present regulations we can also be flexible,START_ monsieur le président le fait d' imprimer une certaine souplesse à cette réglementation est positif _END,14,17
278,i hope that the commission is able to accept the present amendment,START_ j' espère que la commission acceptera cet amendement _END,12,10
279,mr president i would like to thank not only mr koch but also the vice-president of the commission for the clear and unambiguous way in which they have declared their support for safety in the transport sector and acknowledged it as a priority,START_ monsieur le président je voudrais remercier non seulement m koch mais aussi la vice-présidente de la commission pour s'être engagée aussi clairement en faveur de la sécurité dans le domaine des transports et avoir reconnu le caractère prioritaire de celle-ci _END,43,42
280,the reason mr koch produced his sound report was because the work in the cen and within the united nations economic commission was proceeding none too expeditiously,START_ si m koch a rédigé son bon rapport c'est parce que le travail n'a pas été exécuté de manière trop rapide au sein du cen et de la commission économique des nations unies _END,27,35
281,i would like to ask the vice-president if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations and whether the eu is in a position to hasten these harmonisation efforts in accordance with principles that are as simple as possible,START_ je voudrais demander à la vice-présidente si elle peut nous dire où en sont les efforts d'harmonisation déployés par ces deux organisations et si l'ue a la possibilité d'accélérer ces efforts en appliquant des principes aussi simples que possibles _END,59,41
